"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","variable","name"
"X1",-0.184933196201857,0.0682177982526203,-0.046602719264109,0.0416449887468894,-0.187326738997175,0.0708605888038024,"X1","l-Cerebellum-Cortex"
"X2",-0.177490428123298,0.0266988541617733,0.0620889301610459,0.0866847279429007,-0.182546930044001,0.0553581253781378,"X2","l-Thalamus-Proper"
"X3",-0.163633462668651,0.0337838531601363,0.0889002038056886,0.0680628822710411,-0.175590573363598,0.119472772649655,"X3","l-Caudate"
"X4",-0.18789316529591,-0.00945153678985782,0.011411607455198,0.0716002223475355,-0.137453846218256,0.0984261122959855,"X4","l-Putamen"
"X5",-0.157411128008113,0.0348554536049131,0.0195487537565803,0.0615959481800019,-0.0930164827999143,0.128781435384557,"X5","l-Pallidum"
"X6",-0.192932512097295,0.160410021128691,-0.140268611154012,0.257794331238915,0.0125044386265667,0.032466002857244,"X6","l-Hippocampus"
"X7",-0.196689802739977,0.123209480932297,-0.102270265633001,0.0520470423310261,-0.102054055244964,-0.110948254992842,"X7","l-Amygdala"
"X8",-0.143328241700424,0.00130258036759879,0.0196646889259381,0.0559512297784953,-0.0610953012408203,-0.0755393288415451,"X8","r-Cerebellum-Cortex"
"X9",-0.0977632508564022,-0.0184062702859459,0.126129420862416,-0.0328476975554906,0.0465945356422516,0.0396200700635732,"X9","r-Thalamus-Proper"
"X10",-0.0905761719423006,-0.0222042541483464,0.137879694673295,-0.0632190824225621,-0.0557770676640377,0.0134485596666129,"X10","r-Caudate"
"X11",-0.124474150537795,-0.0958447610902545,0.196036296476697,-0.0913024133213661,0.11926301968315,-0.0934645785258063,"X11","r-Putamen"
"X12",-0.131120886700703,-0.117803337529015,0.196145165905384,-0.0422100312461964,-0.0253340542400576,-0.0480630579245526,"X12","r-Pallidum"
"X13",-0.127326204190968,0.0566083014145396,0.11920233544096,-0.139316000779472,0.0646517563668835,-0.0390118576129833,"X13","r-Hippocampus"
"X14",-0.0993858284417067,0.0294532218623206,0.112352990455445,-0.163171485235411,0.045877220632417,-0.0278998983077944,"X14","r-Amygdala"
"X15",-0.105620142934321,0.0879871360987208,-0.101006119009379,0.0546964520743524,0.0578418429455416,0.00210402768348925,"X15","l-bankssts"
"X16",-0.176935873714821,-0.223229436784294,0.246519167107634,0.000649005031147586,0.215777468781598,-0.0624202816816161,"X16","l-caudalanteriorcingulate"
"X17",-0.158843470074779,0.0249342422138856,-0.00880857583066148,0.0848004612738432,-0.0892620518438949,0.12118411137288,"X17","l-caudalmiddlefrontal"
"X18",-0.117045200242603,0.141270307831934,-0.177468175502859,0.102342211433912,0.130304247331612,-0.282365546611611,"X18","l-cuneus"
"X19",-0.0776951093655309,0.0417955768884075,-0.138201768416833,0.120442347969988,-0.00743110475657701,-0.167007929911107,"X19","l-entorhinal"
"X20",-0.131022051511031,0.145061014633827,-0.177407788342511,0.153793342046202,0.14416563241428,-0.259716990045782,"X20","l-fusiform"
"X21",-0.170171241780881,0.133971971515945,-0.29029239545966,0.0275113750674125,-0.0125138753125282,0.117808236058894,"X21","l-inferiorparietal"
"X22",-0.140245185979623,0.111216015110074,-0.265050589747247,0.195106561779217,0.185766211859952,-0.157923308641424,"X22","l-inferiortemporal9"
"X23",-0.174519444886994,0.182331267471905,-0.130305675032765,-0.100370151567467,0.228612762267208,-0.0478180119928622,"X23","l-isthmuscingulate"
"X24",-0.158098524910551,0.122512986785063,-0.175970277371957,0.173284576324969,0.136681597068833,-0.327761434924978,"X24","l-lateraloccipital"
