"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","variable","name"
"X1",-0.174145183790224,0.14038979293761,-0.0680392703856939,-0.0762349233273713,0.167913784280421,0.102742407790666,"X1","l-Cerebellum-Cortex"
"X2",-0.0780942752675226,0.128115786382276,-0.072071012509114,-0.144528902767198,0.0220664332489243,0.10257224246366,"X2","l-Thalamus-Proper"
"X3",-0.0889180644598438,0.1058593212455,-0.0505687026229246,-0.100751869500978,-0.0173383800405767,0.107550549180811,"X3","l-Caudate"
"X4",-0.135551672470505,0.145494506237953,-0.0273821653862909,-0.192313423526795,0.0543811165515306,0.168923673051239,"X4","l-Putamen"
"X5",-0.123500790311087,0.125785264136959,-0.0612896373601351,-0.138159596227552,0.0587424222126497,0.0840975718259429,"X5","l-Pallidum"
"X6",-0.121352955315399,0.0948975412160724,0.130093271138103,-0.212813167809832,0.20131954894284,-0.0405384483405932,"X6","l-Hippocampus"
"X7",-0.0454400541290412,0.0625480093354722,0.133748489599337,-0.0847074584278831,0.00924653887889382,0.059195987648917,"X7","l-Amygdala"
"X8",-0.0836044445229341,0.198849871835838,-0.107331224195119,-0.0182245582409571,0.243812176471467,-0.0403462807266547,"X8","r-Cerebellum-Cortex"
"X9",-0.116156123951142,0.199731068798227,-0.192627527553721,0.00304961125433232,0.0158126529621723,-0.199825792889736,"X9","r-Thalamus-Proper"
"X10",-0.00697621157497315,0.184443277753669,-0.202074593962969,0.0793173196360528,-0.00188621109009061,-0.0716166453792414,"X10","r-Caudate"
"X11",-0.0940646540491476,0.204024676016188,-0.189692246962569,0.00389152591713287,-0.117357273994471,0.0112962505359721,"X11","r-Putamen"
"X12",0.0117567534353502,0.186629377577225,-0.23332517693035,-0.00466195143246952,-0.0388822788189147,-0.0594720137895172,"X12","r-Pallidum"
"X13",-0.302981081838016,0.174978634664263,-0.179271629570664,0.0696227187563207,0.191659592213252,-0.129061314574109,"X13","r-Hippocampus"
"X14",-0.283619511228561,0.180865255346067,-0.131009640352452,0.0941295377718501,0.035036961699088,-0.128563955360788,"X14","r-Amygdala"
"X15",-0.0325463824416156,0.0349200483555592,0.130661064436509,-0.0712129038272071,0.0283245989944997,-0.074846738415439,"X15","l-bankssts"
"X16",0.0636469819149859,0.181123351801448,0.023522406231282,0.0917810272500456,-0.338044023237687,0.0648318107069012,"X16","l-caudalanteriorcingulate"
"X17",-0.118116348340997,0.0478977802436744,-0.0111124469064415,-0.0654173143039511,0.0322840834470608,0.0628513074275024,"X17","l-caudalmiddlefrontal"
"X18",-0.0434895838428648,0.0498676728506203,0.266788182580243,-0.110785544064555,-0.0475647883845748,0.125773557724787,"X18","l-cuneus"
"X19",0.107958503440244,0.0249197172035033,0.149939394116747,-0.0947531240656222,-0.0176254174204282,-0.07447771557179,"X19","l-entorhinal"
"X20",-0.0576150427794358,0.0427695658447634,0.201150898356432,-0.165621779616513,-0.127187578558516,0.0407941170865189,"X20","l-fusiform"
"X21",-0.15710671946655,0.0542737151352184,0.180665902636421,-0.187655681689503,0.0361115271313999,0.0471858579092628,"X21","l-inferiorparietal"
"X22",-0.15497960470052,0.0344529892068743,0.198981006803806,-0.205811856882751,-0.126524020349302,-0.050941566606282,"X22","l-inferiortemporal9"
"X23",-0.227915302512211,0.0995993109103245,0.174015107360421,-0.117897658344393,0.0152832163345015,-0.0588840383108012,"X23","l-isthmuscingulate"
"X24",-0.120190528581815,0.0530333441406429,0.203689189464719,-0.199780452557386,-0.141818095219629,-0.00714887364942276,"X24","l-lateraloccipital"
"X25",-0.132872193743959,0.0647486319453021,0.187075673182169,-0.143639895210986,0.0657989669405708,0.033840068610041,"X25","l-lateralorbitofrontal"
"X26",-0.0695185533309877,0.0245392871229733,0.209867057521863,-0.144827228961998,-0.0323691096258733,-0.0429684674797522,"X26","l-lingual"
"X27",-0.115058906219896,0.0636959641622718,-0.0274007796464619,0.0244222013242321,-0.0985865478300441,-0.000304420303266791,"X27","l-medialorbitofrontal"
"X28",-0.179037056627501,0.0633665166532491,0.19572371359883,-0.243471644482219,-0.0616855051867005,-0.019092760524284,"X28","l-middletemporal"
"X29",-0.00776951994066917,0.0103455857271746,0.13895503500639,-0.0692678556810877,0.00297552096616574,-0.0337607779184729,"X29","l-parahippocampal"
"X30",-0.0616117386703986,0.140860570964127,0.00512366079549501,0.0620721437855659,0.116980639669688,-0.229645242311226,"X30","l-paracentral"
"X31",-0.125216958493363,0.149952929967453,0.00709272046753886,-0.166598018217265,0.0365832808228565,0.273001399960304,"X31","l-parsopercularis"
"X32",-0.0802648886583687,0.0761587616878948,0.141919690860789,-0.0755318288377971,-0.027278139848804,0.171011842014408,"X32","l-parsorbitalis"
"X33",-0.141262308140778,0.109108076559937,0.107137111813424,-0.163389108558397,-0.0241779761928258,0.204888997121009,"X33","l-parstriangularis"
"X34",-0.0408046825293842,0.0424091765559469,0.213690977844535,-0.146237315561917,-0.0588293504550357,0.120689276182253,"X34","l-pericalcarine"
"X35",-0.120368567708722,0.0652983043550645,0.0438650429473732,-0.102372014170407,0.0784092358606459,0.0847373744103844,"X35","l-postcentral"
