"","rowIndex","pred_lm","pred_pls","y"
"1",1,-4.5941942945194,-4.57342650053158,-4.18104905992103
"2",2,-4.52497740680561,-4.57008945058683,-4.67132592107658
"3",3,-4.52197358894417,-4.6764005888493,-3.83498611972195
"4",4,-4.51905894793788,-4.65634998336498,-4.45435631598097
"5",5,-4.48985472308737,-4.57621302435642,-4.21371091181193
"6",6,-4.47737290381892,-4.71673137228139,-4.35727991877087
"7",7,-4.47778811376534,-4.53700041578521,-4.62118437122008
"8",8,-4.33061630327678,-4.41759715958687,-4.39879308412299
"9",9,-4.32721849876298,-4.41759715958687,-4.5398515311028
"10",10,-4.34388809548387,-5.02977912768119,-4.65158478232242
"11",11,-4.30228668811003,-4.91277037708152,-4.6576884386662
"12",12,-4.305762610267,-4.84649976423602,-3.85626731156385
"13",13,-4.32840361758942,-4.81109143207765,-4.53446288463066
"14",14,-4.32883963277551,-4.77911317616143,-4.59177748143999
"15",15,-4.34277393194875,-5.14141448969688,-4.02124823832636
"16",16,-4.41576717804418,-4.41221319130264,-3.12229083312401
"17",17,-4.43521688842421,-4.82547692917848,-4.45028534561659
"18",18,-4.42783359613402,-4.68628386713349,-5.08205832722497
"19",19,-4.42026475136617,-4.69341245246543,-4.75075821546782
"20",20,-4.40788730402006,-4.76051373955215,-3.45417368178978
"21",21,-4.3989997523218,-4.72634300842407,-3.981283441373
"22",22,-4.38718554810332,-4.72239910868655,-1.73540044231461
"23",23,-4.37905224829942,-4.72226026357997,-3.82161412104723
"24",24,-4.37430699527136,-4.7967836881887,-5.60132560871595
"25",25,-4.36143087171608,-4.85479092207224,-4.98583211984085
"26",26,-4.33953440933484,-4.80945582113417,-5.08092095906637
"27",27,-4.34479304947456,-4.49315056177713,-4.37287303237858
"28",28,-4.32597460026843,-4.65150311230374,-5.49068898040692
"29",29,-4.34031130283568,-4.79730365484958,-4.8153190499456
"30",30,-4.30282690385429,-4.55681925403288,-4.61808169796706
"31",31,-4.27671836241646,-4.848651142046,-5.12532598475914
"32",32,-4.29063432685685,-4.39199526324585,-4.05464181845576
"33",33,-4.27385329591834,-4.45679409350387,-4.74946886859707
"34",34,-4.28347434501469,-4.91610656933909,-5.20097754236748
"35",35,-4.29607535850991,-4.66371288189906,-4.45964227211899
"36",36,-4.30469771512001,-5.05845943692573,-2.92364294462233
"37",37,-4.30609607439213,-4.48952125447524,-5.14110062135604
"38",38,-4.30486368026109,-4.12959836147777,-4.96494217764081
"39",39,-4.30799777301643,-4.37483864120473,-4.45038172537949
"40",40,-4.37492570123726,-4.78500635675399,-5.17876467069194
"41",41,-4.39301492728842,-4.63565416920381,-4.73283721714117
"42",42,-4.39221326978567,-4.94480480459766,-5.38209480431932
"43",43,-4.401251007427,-4.80461854288427,-2.32430756766063
"44",44,-4.419900344021,-4.79489831372319,-5.17668801613815
"45",45,-4.39093764004094,-4.75271877473713,-4.96398394177841
"46",46,-4.38660419735707,-5.16333002265881,-5.48440765370409
"47",47,-4.39416605516191,-4.44683939046283,-5.33293545229773
"48",48,-4.33225407532647,-4.61761076629572,-4.97539242391314
"49",49,-4.35024656413973,-4.5169034914507,-3.48743365027775
"50",50,-4.32308606880487,-4.1400578017542,-5.1589426889794
"51",51,-4.31775872716801,-4.37991896118985,-5.60280825139499
"52",52,-4.31516958836614,-4.42326358322246,-5.23828786489594
"53",53,-4.2931922994493,-4.66098190589066,-1.87145097842145
"54",54,-4.29435382565515,-4.59425089445833,-5.27353273805473
"55",55,-4.2906090213991,-4.92251237500175,-5.34563382504047
"56",56,-4.28962325253343,-4.27119691552676,-5.1003081139394
"57",57,-4.29886453612595,-4.60764515830292,-2.80499331386343
"58",58,-4.30182830869953,-4.55872403816258,-4.89152997580758
"59",59,-4.32211424742769,-4.70355793405047,-2.03922623035823
"60",60,-4.33075144273602,-4.34137136833899,-4.20302723781985
"61",61,-4.32617619599759,-4.67709385284288,-5.5061771005397
"62",62,-4.35636433356219,-4.63742694864272,-5.01256476373469
"63",63,-4.36874151317143,-4.64805932200398,-4.47765585829684
"64",64,-4.66664152718548,-4.39379823467534,-4.7684788212322
"65",65,-4.66519427590151,-4.40079083710615,-3.93761213720282
"66",66,-4.66842305909095,-4.78101983329597,-4.79563043295041
"67",67,-4.65696840333674,-4.8114356878688,-4.53250430243284
"68",68,-4.65304921880761,-4.95490799535152,-4.848612821465
"69",69,-4.63459505859563,-4.51651424699799,-3.62246079527818
"70",70,-4.64772250729511,-4.36612082799699,-4.43930482028781
"71",71,-4.64069554511004,-4.73775150272595,-4.83073102369213
"72",72,-4.64036220087599,-4.31215734151419,-4.99009338467535
"73",73,-4.64687392031621,-4.18610405405657,-4.08151345147878
"74",74,-4.63980643668708,-4.50493701625149,-3.34455422775003
"75",75,-4.60773804930614,-4.17589818327292,-4.51057929251477
"76",76,-4.60109244917139,-4.52307551213981,-5.02901889385936
"77",77,-4.608585715396,-4.43987529891361,-4.27419630911403
"78",78,-4.58908852102047,-4.02561081716569,-5.16044116408539
"79",79,-4.60541848336497,-4.3831060425389,-4.00335222365056
"80",80,-4.69707844276594,-4.08341101069869,-4.43224553370243
"81",81,-4.71063331229568,-4.63616791068138,-4.39344622940491
"82",82,-4.75187688117074,-4.63364463256134,-4.46857429028432
"83",83,-4.7528971985178,-4.51071030089677,-4.64384943588727
"84",84,-4.6443557363593,-4.07888240399972,-3.1537880958866
"85",85,-4.63671233405105,-4.20921542627235,-4.5083699372553
"86",86,-4.64286439848301,-4.21978034470086,-3.65254157770727
"87",87,-4.6510061383774,-4.68256184707861,-4.98577110951892
"88",88,-4.63880373407318,-4.51876853502905,-4.14759387830445
"89",89,-4.61906479401763,-4.60403603809463,-4.77386674973862
