"","rowIndex","pred_lm","pred_pls","y"
"1",1,-4.73870769680738,-3.29681825880408,-4.18104905992103
"2",2,-4.67657410880098,-3.69919242686042,-4.67132592107658
"3",3,-4.67462639124878,-4.78939531351604,-3.83498611972195
"4",4,-4.66338367508076,-4.60520438474133,-4.45435631598097
"5",5,-4.63559655999503,-4.56691964815997,-4.21371091181193
"6",6,-4.6193938585079,-4.937497435127,-4.35727991877087
"7",7,-4.62364303439771,-4.71710198549897,-4.62118437122008
"8",8,-4.48662121565574,-4.30455008508192,-4.39879308412299
"9",9,-4.4736365096899,-4.1794086704686,-4.5398515311028
"10",10,-4.480089175197,-4.65056131506017,-4.65158478232242
"11",11,-4.46127143063226,-5.23103523967526,-4.6576884386662
"12",12,-4.46327478768149,-5.04534817468039,-3.85626731156385
"13",13,-4.48069000622573,-5.17254951913132,-4.53446288463066
"14",14,-4.48802794504747,-5.76749159763576,-4.59177748143999
"15",15,-4.49843182023714,-5.79744666462394,-4.02124823832636
"16",16,-4.56071680042009,-3.73665270714007,-3.12229083312401
"17",17,-4.58885879372524,-4.13064133399821,-4.45028534561659
"18",18,-4.57324875266194,-4.22371150213193,-5.08205832722497
"19",19,-4.57155989571087,-4.15840656999465,-4.75075821546782
"20",20,-4.57128259676951,-4.36120228856323,-3.45417368178978
"21",21,-4.54869264239199,-4.44390462199857,-3.981283441373
"22",22,-4.54065296025347,-4.49058490271132,-1.73540044231461
"23",23,-4.52485475210526,-4.26141555848988,-3.82161412104723
"24",24,-4.52922531161679,-4.88868276718645,-5.60132560871595
"25",25,-4.50237502864818,-4.91032244157307,-4.98583211984085
"26",26,-4.47952058775822,-4.85427204930134,-5.08092095906637
"27",27,-4.49200662773501,-4.30464456794374,-4.37287303237858
"28",28,-4.4896800501645,-4.77382026054205,-5.49068898040692
"29",29,-4.48745460443962,-4.7691716732322,-4.8153190499456
"30",30,-4.44031139067809,-4.28136122678582,-4.61808169796706
"31",31,-4.43896552697649,-4.66642353412879,-5.12532598475914
"32",32,-4.42734302537528,-4.53465675341563,-4.05464181845576
"33",33,-4.43613799353137,-4.88389813829668,-4.74946886859707
"34",34,-4.43110391260487,-5.38197385273957,-5.20097754236748
"35",35,-4.4441494318425,-4.7788322478515,-4.45964227211899
"36",36,-4.45961405558705,-5.61646851644839,-2.92364294462233
"37",37,-4.46078286491266,-3.46049566165289,-5.14110062135604
"38",38,-4.4549000576544,-4.08704222416467,-4.96494217764081
"39",39,-4.46806968891934,-4.69152776429908,-4.45038172537949
"40",40,-4.5245979913775,-4.38689801658852,-5.17876467069194
"41",41,-4.53903303395665,-4.3712592270036,-4.73283721714117
"42",42,-4.5509880174374,-4.58429176222035,-5.38209480431932
"43",43,-4.5478232050369,-4.75888815709199,-2.32430756766063
"44",44,-4.56719023484583,-4.57857614789521,-5.17668801613815
"45",45,-4.54827552720493,-4.37279333319734,-4.96398394177841
"46",46,-4.54253967699412,-5.00316340883131,-5.48440765370409
"47",47,-4.54544786108876,-4.38164104354902,-5.33293545229773
"48",48,-4.48872945841322,-4.49058490271132,-4.97539242391314
"49",49,-4.50242326444504,-4.31387177443929,-3.48743365027775
"50",50,-4.45814169467921,-4.19868477031363,-5.1589426889794
"51",51,-4.46627230048293,-4.28839358586114,-5.60280825139499
"52",52,-4.46342498600566,-4.28005619839026,-5.23828786489594
"53",53,-4.44295017959583,-4.729646399177,-1.87145097842145
"54",54,-4.44207675029994,-4.68006984146404,-5.27353273805473
"55",55,-4.43982356732467,-5.04522388082393,-5.34563382504047
"56",56,-4.44715152068614,-4.20699385200527,-5.1003081139394
"57",57,-4.44672302615223,-4.3947574155278,-2.80499331386343
"58",58,-4.43572223372231,-4.67388095498802,-4.89152997580758
"59",59,-4.45593526459414,-4.78738885010192,-2.03922623035823
"60",60,-4.47249843513009,-4.98511906783801,-4.20302723781985
"61",61,-4.48155371478352,-5.2468475916639,-5.5061771005397
"62",62,-4.51645289929124,-4.6290801659299,-5.01256476373469
"63",63,-4.51875599071969,-4.6836524511333,-4.47765585829684
"64",64,-4.82708829214,-4.33264198590033,-3.69590277151431
"65",65,-4.76686700389315,-4.08713078936374,-3.5177489775671
"66",66,-4.7961738186345,-4.15419250306184,-3.49141995780508
"67",67,-4.79521221863217,-4.38091740938193,-3.57251104259982
"68",68,-4.79662167996408,-5.00566838300974,-3.43886276264615
"69",69,-4.7795944688055,-4.99826381311474,-3.23523188702961
"70",70,-4.79344001046557,-5.16632084593949,-3.19019690942489
"71",71,-4.51104971563284,-4.3494532605698,-3.933546406629
"72",72,-4.47908949474952,-4.37177372695953,-3.61028977979768
"73",73,-4.51549159558004,-4.35858481002553,-3.66628200968011
"74",74,-4.52498173470744,-3.66766491554896,-3.51683383849411
"75",75,-4.53201838556938,-4.22508971982007,-3.27930323462631
"76",76,-4.57993787731051,-3.45930242458934,-3.24217301691991
"77",77,-4.61006861101726,-3.68347068613754,-3.52901617377079
"78",78,-4.63612829733449,-3.90097754884944,-2.99593033643943
"79",79,-4.51606880990276,-4.38997151571117,-3.54042896366793
"80",80,-4.61495668870494,-4.14728220078927,-3.49277103506362
"81",81,-4.63591569402499,-4.22573998872626,-3.52005164240971
"82",82,-4.62206338398139,-4.16956137217956,-3.20015219843508
"83",83,-4.68224060127497,-4.1790549512259,-3.3945881188418
"84",84,-4.70487670150344,-3.84514122114882,-2.9588269059853
"85",85,-4.70982072448391,-4.13244274213673,-3.01301841786678
"86",86,-4.64947523714106,-4.31055582384021,-3.62446623402503
"87",87,-4.70124045398322,-4.48176837334359,-3.23522631649856
"88",88,-4.7302502483335,-4.5156519345416,-3.0762839977198
"89",89,-4.7444032148442,-4.10124045601029,-3.06598099857532
"90",90,-4.73853179952367,-4.18358226823674,-3.02477484827739
"91",91,-4.3673004240479,-4.16963231157963,-3.67203064225839
"92",92,-4.4101339907183,-3.79434751408287,-3.30937119722461
"93",93,-4.41074292120549,-2.5985363465392,-3.07328872664083
"94",94,-4.41150699238716,-3.60694635478031,-3.26674229358477
"95",95,-4.4268587763146,-1.79912392026782,-3.09602569278468
"96",96,-4.46226341847727,-4.07364433391416,-2.84774316064406
"97",97,-4.44449096268316,-4.17542529407353,-3.86668312263104
"98",98,-4.4897320856624,-3.82214302305883,-3.66210008159109
"99",99,-4.52706125861065,-4.12987372616663,-3.23591241625843
"100",100,-4.55354245028153,-3.32037151652438,-3.23297605062603
"101",101,-4.56627044156815,-3.95622540388628,-3.34968869236128
