"","rowIndex","pred_lm","pred_pls","y"
"1",1,-4.57935078947661,-4.81774154550622,-4.7684788212322
"2",2,-4.57918985511652,-4.46469873473384,-3.93761213720282
"3",3,-4.58490235653817,-4.31371408500322,-4.79563043295041
"4",4,-4.55351971055187,-3.93455000334559,-4.53250430243284
"5",5,-4.54525306769683,-4.38463969673203,-4.848612821465
"6",6,-4.5018946398652,-4.60504379533857,-3.62246079527818
"7",7,-4.53910322478646,-4.27149725669308,-4.43930482028781
"8",8,-4.5164356730372,-4.52893392383608,-4.83073102369213
"9",9,-4.5205499721948,-4.97462873027306,-4.99009338467535
"10",10,-4.52631743276913,-4.11417320907654,-4.08151345147878
"11",11,-4.52594027576401,-4.70091907803011,-3.34455422775003
"12",12,-4.45538360527186,-4.38721568075299,-4.51057929251477
"13",13,-4.46577815948958,-4.24161196914792,-5.02901889385936
"14",14,-4.45009306777372,-4.72121995577541,-4.27419630911403
"15",15,-4.43341583459603,-4.5422466623814,-5.16044116408539
"16",16,-4.46334281923334,-4.00745856908114,-4.00335222365056
"17",17,-4.65850352660468,-4.29067861174474,-4.43224553370243
"18",18,-4.6345797327267,-4.85227158069739,-4.39344622940491
"19",19,-4.6903611160076,-4.54759021768791,-4.46857429028432
"20",20,-4.72740677555663,-4.68438446520878,-4.64384943588727
"21",21,-4.53034304780986,-4.43642611991442,-3.1537880958866
"22",22,-4.51657000848702,-4.39241125705667,-4.5083699372553
"23",23,-4.51904144217226,-4.05046739360324,-3.65254157770727
"24",24,-4.52936720976012,-4.5880023776254,-4.98577110951892
"25",25,-4.51809333710099,-4.52300874499402,-4.14759387830445
"26",26,-4.49109667207596,-4.72324251681455,-4.77386674973862
"27",27,-4.48827025245845,-4.52364222697559,-5.27995285189106
"28",28,-4.46976595138739,-4.01170372723054,-3.28284086103196
"29",29,-4.51108275425295,-4.86427764403996,-4.1124723894213
"30",30,-4.50311233981209,-5.19517761662131,-4.73126649224391
"31",31,-4.47003274682041,-4.68243882259997,-4.38092055838159
"32",32,-4.47748925789449,-4.11030357671447,-4.83799586437106
"33",33,-4.48311138468319,-4.05447026115939,-5.18138945458956
"34",34,-4.55182616177456,-4.7787528041438,-4.63585211839173
"35",35,-4.56172690400287,-4.60875904550492,-4.74938085636752
"36",36,-4.66818853204937,-4.53573963055776,-4.01753128919032
"37",37,-4.67091248135599,-4.53573963055776,-4.8399803753537
"38",38,-4.66025258141465,-4.55896015238336,-3.73057582194022
"39",39,-4.70051982979514,-4.48284847941988,-5.16542364201386
"40",40,-4.65348025268792,-4.52450378485548,-4.26383764092346
"41",41,-4.66422193453819,-4.86400860159014,-4.74314079282729
"42",42,-4.42389445650214,-4.68167849608404,-3.50646028006524
"43",43,-4.44454530652461,-4.60560316262188,-3.72292150144876
"44",44,-4.38243426886203,-4.04573264981338,-3.4426823683366
"45",45,-4.34431057325499,-4.20421168210953,-3.96267901259925
"46",46,-4.36195342632715,-4.5085869999145,-4.86598572767631
"47",47,-4.42744972699367,-4.04626011513535,-4.09388585748966
"48",48,-4.38182644020955,-4.84276531543574,-4.90708769897935
"49",49,-4.1987154111354,-3.66884838811334,-3.39313477686571
"50",50,-4.19807793079973,-3.69151810540293,-3.35787779565213
"51",51,-4.1939394305792,-4.96158592086825,-2.92603727157645
"52",52,-4.15628330859551,-4.11834313772367,-3.9308170479017
"53",53,-4.23181913655337,-3.57105701255496,-3.10942508677371
"54",54,-4.27051998088202,-3.83943629995134,-3.08752169345561
"55",55,-4.27981092550181,-3.33394298270682,-3.18819850857211
"56",56,-4.27084438530944,-3.31324939616832,-3.57318580166684
"57",57,-4.27879641414939,-3.34610616833103,-3.34449802948793
"58",58,-4.16564666030831,-3.66439832288898,-3.13416332360941
"59",59,-4.24333578540523,-4.2483151167704,-3.37620675792781
"60",60,-4.22259646364019,-4.4601995438125,-3.71598477567295
"61",61,-4.23268498487197,-4.07512675699779,-3.44571926866597
"62",62,-4.25129659787497,-3.32194985923969,-4.69400453130268
"63",63,-4.39050683415701,-3.80664282238352,-3.18461341674377
"64",64,-4.34340126789117,-3.67913575598293,-4.77269640130108
"65",65,-4.33597973682185,-3.5757013050091,-5.03637000106403
"66",66,-4.31343985507366,-3.66299444022009,-3.26342925723964
"67",67,-4.33624701418448,-3.60860732681286,-3.62114110545086
"68",68,-4.31634215718147,-3.98828268204819,-3.25870998837258
"69",69,-4.30396303794769,-3.76558436585329,-3.75173894609132
"70",70,-4.35869293721749,-3.57680335392035,-3.61846018082093
"71",71,-4.30223185841089,-4.07753612233095,-3.26902110223669
"72",72,-4.29939005970234,-3.87204022150629,-3.20714459956927
"73",73,-4.29377193761342,-3.97467426164131,-3.64752927044212
"74",74,-4.25855959092601,-3.97467426164131,-3.62757092829057
"75",75,-4.29593198722515,-4.18065919625191,-5.20874479366731
"76",76,-4.33330717801671,-3.82031063926523,-4.48803333645886
"77",77,-4.33538387779385,-4.08331612856778,-3.84666544414437
"78",78,-4.35546943553164,-3.75950380250938,-3.4405802095597
"79",79,-4.3647815460069,-4.09757230195072,-3.48340804416218
"80",80,-4.35438787215556,-4.0594046304166,-3.86027694271791
"81",81,-4.2850599960061,-3.80903337096627,-3.53207452274091
"82",82,-4.32279277164334,-3.66267658108679,-3.31716720504317
"83",83,-4.31727508458452,-4.5151947509583,-3.87843496513351
"84",84,-4.32233602981124,-4.67598516542324,-4.89122863489314
"85",85,-4.49765305742494,-4.75246589096458,-4.99431449218682
"86",86,-4.42587589082823,-4.93905635878446,-5.3463716443096
"87",87,-4.42378717070817,-4.8516809608582,-4.48443693075414
"88",88,-4.52409714115577,-4.75454493481613,-5.42670004418128
"89",89,-4.56568804228064,-4.79864869590055,-5.38274171160489
"90",90,-4.59807540250902,-4.86461027457894,-4.33331959684392
"91",91,-4.33186135694423,-4.86009417227875,-5.35318967413343
"92",92,-4.31606819103715,-4.8018846630858,-5.03040490499516
"93",93,-4.352956981238,-5.01053978399539,-5.17692967265694
"94",94,-4.37897134884458,-5.34493917332563,-5.28757266452922
"95",95,-4.38792181352333,-4.89136140511912,-5.04807550878791
"96",96,-4.38421778633925,-4.85602607472513,-5.25003809662732
"97",97,-4.38866361411294,-4.86164626847541,-5.18225017412393
"98",98,-4.39913296721405,-4.42601457075541,-5.15563867522577
"99",99,-4.54821451615247,-5.04495574570482,-4.22841800121916
"100",100,-4.51265794147035,-5.09924955305969,-4.31140996869022
"101",101,-4.4892559635596,-4.72361222704281,-5.31921888418281
"102",102,-4.58143542627686,-4.9853486783624,-5.44176190364919
