"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","variable","name"
"X1",-0.217047166832087,-0.121009678808904,0.037573932101294,-0.018883677726226,0.0562022156906374,0.152040894001394,"X1","l-Cerebellum-Cortex"
"X2",-0.220241473253146,-0.0529184989329571,0.0229901727131986,0.0222265036744957,0.0220385010405177,0.161385607257083,"X2","l-Thalamus-Proper"
"X3",-0.221326607529295,-0.0199870618043909,0.00865658566817515,0.0807119423446874,-0.0697506131248785,0.170605447338032,"X3","l-Caudate"
"X4",-0.228675881066901,-0.140230872596973,0.0231032720356936,0.0139748745452401,0.106548067060297,0.116661437892182,"X4","l-Putamen"
"X5",-0.231111635140038,-0.0689896643164799,0.00412187200104172,0.0471769215929494,0.0131113834052339,0.154965395848775,"X5","l-Pallidum"
"X6",-0.142151949857105,0.0169402128042065,0.0834632841207634,-0.111818482850042,0.29676875112114,-0.128867641340796,"X6","l-Hippocampus"
"X7",-0.175568614467096,0.111118427643845,0.0476782478051467,-0.052989277627536,-0.0482086486796454,-0.0835594416700125,"X7","l-Amygdala"
"X8",0.0645895582268976,-0.240775248197196,0.228757564728213,-0.240003724688625,0.216374877653344,0.0115312169257564,"X8","r-Cerebellum-Cortex"
"X9",0.0957354452990097,-0.296024435583292,0.226894376130604,-0.172002822876986,0.0569561482012795,0.0361308509582924,"X9","r-Thalamus-Proper"
"X10",0.111843500707208,-0.238495737562837,0.221823391445696,-0.13338281369721,0.0366896981531285,0.0654426748166656,"X10","r-Caudate"
"X11",0.0950290074744943,-0.369490170908631,0.228689059551923,-0.228897654599087,0.0682331077190888,0.089189550153025,"X11","r-Putamen"
"X12",0.108107900827816,-0.288338592325079,0.229474440302399,-0.25780565944566,0.0767667865617723,0.090221805510856,"X12","r-Pallidum"
"X13",0.0178461242237104,-0.386968814911991,0.184646041559292,-0.134798330018034,-0.0498585290412527,0.0448584568268909,"X13","r-Hippocampus"
"X14",0.0391118322705112,-0.381521279375558,0.184498369216968,-0.0845476257098755,-0.0550160063731434,-0.0175221397709031,"X14","r-Amygdala"
"X15",-0.090805988047816,0.0368680437568393,0.0255842758980438,-0.0439239680546708,0.0867750886109026,-0.014746171967393,"X15","l-bankssts"
"X16",-0.0728136935645699,-0.0720213203953764,0.140642499016075,0.0145253717082668,-0.0387149302481892,0.266061741238862,"X16","l-caudalanteriorcingulate"
"X17",-0.191715594388417,-0.0723278043803099,-0.017992166017131,0.0156208933004885,-0.00779544192388476,0.155092195023232,"X17","l-caudalmiddlefrontal"
"X18",-0.0988928882321063,0.132539508552375,0.0516614320785338,-0.0310546406661078,0.188565072999086,-0.16457792900771,"X18","l-cuneus"
"X19",-0.0679828189930551,0.220640548361429,0.0257548866525799,-0.107410883739314,0.0356655381653528,-0.0706937240677153,"X19","l-entorhinal"
"X20",-0.10065113342296,0.0900520935833592,0.0469815211191378,-0.138004199997854,0.157410667444489,-0.14881746004065,"X20","l-fusiform"
"X21",-0.161186074831739,-0.0231529530153814,0.0233700632250431,-0.152123331636714,0.0776660253161763,-0.133211168707945,"X21","l-inferiorparietal"
"X22",-0.133863558661129,-0.0161792427190915,0.0108516754998873,-0.181046078759777,0.169258261625858,-0.16832096291398,"X22","l-inferiortemporal9"
"X23",-0.132419692366805,-0.0962559250996803,0.0866361897512149,-0.031108375787415,-0.0286786779482982,-0.104338703888413,"X23","l-isthmuscingulate"
"X24",-0.117236576829437,0.0305907784011812,0.0530968395126828,-0.178236120201362,0.12385574245125,-0.240822591874346,"X24","l-lateraloccipital"
"X25",-0.161782568542048,0.105064539275971,0.0445959738975972,-0.02423340550609,-0.00240615878297903,-0.0906056431481435,"X25","l-lateralorbitofrontal"
"X26",-0.0856037178054071,0.032318273541153,0.0160373239193741,-0.168540996298428,0.0343300264817056,-0.212290529681428,"X26","l-lingual"
"X27",-0.163626400901278,0.0495033834384053,0.0628910846645405,0.0576202526464667,-0.427173112169734,0.111784401553806,"X27","l-medialorbitofrontal"
"X28",-0.143953756532011,-0.0694389443989999,0.0333795817398668,-0.19707133925954,0.182329339625469,-0.18656196611413,"X28","l-middletemporal"
"X29",-0.0895198789078888,0.11421757817272,0.029152555271368,-0.116986634272698,-0.0142685982809963,-0.0790077653152963,"X29","l-parahippocampal"
"X30",-0.140574706044102,0.135326885174868,0.130934574891875,0.00136814942007082,-0.201971580347079,0.0410733829179327,"X30","l-paracentral"
"X31",-0.193737640124859,-0.164535294349856,0.0634776154743385,-0.0212969885161606,0.165892010172862,0.120988458915491,"X31","l-parsopercularis"
"X32",-0.164705211137524,0.0498433765207289,0.0584853118848771,0.0102901407087957,-0.205308876391534,-0.0558495745674024,"X32","l-parsorbitalis"
"X33",-0.203181620065462,-0.0539862572627653,0.0533734042680389,0.0149518921678965,0.0171633627219489,0.0215885229112789,"X33","l-parstriangularis"
"X34",-0.0923529370671344,0.151730180504681,0.0563015393031371,-0.0601727640841151,0.110451122441122,-0.17856497248263,"X34","l-pericalcarine"
"X35",-0.207483537703744,0.0469632244289115,0.00662076766280463,-0.0161346117652233,-0.0621408110197083,0.0330232685059066,"X35","l-postcentral"
"X36",-0.0894007518904326,-0.131229788561546,0.147994031953308,-0.127512060773585,-0.0946469800838514,-0.112686123061913,"X36","l-posteriorcingulate"
"X37",-0.215604435138324,0.0549437357894466,0.0105145314307105,0.0756166367229845,-0.127596193343723,0.17047300678908,"X37","l-precentral"
"X38",-0.177934145012547,-0.0593568777601904,0.0857349524007786,0.0198189890486401,-0.0353798323743282,-0.105707080919701,"X38","l-precuneus"
"X39",-0.0440357699957539,-0.0684847377007974,0.108957012549335,0.0128328239703412,-0.379883022578959,-0.0277036518986311,"X39","l-rostralanteriorcingulate"
"X40",-0.187962747473383,-0.0934190004327467,0.0523255467630836,0.101838726895178,-0.25538769430948,0.176330833778004,"X40","l-rostralmiddlefrontal"
"X41",-0.206549185466514,-0.170904873938685,0.0632955507857696,0.025863288407185,0.00318525279892978,0.294418497792116,"X41","l-superiorfrontal"
"X42",-0.194104718140463,-0.0357822627626123,0.0326086234678886,-0.0245512473697144,0.00864733336595259,-0.0838613682995491,"X42","l-superiorparietal"
"X43",-0.134565192958385,-0.0499085590257706,0.0565019405912075,-0.162725460075986,0.281462161420202,-0.220575041194724,"X43","l-superiortemporal"
"X44",-0.104590030041392,0.0228401310463574,0.0243572924875239,-0.170706436744431,0.183299260304047,-0.189187560364877,"X44","l-supramarginal"
"X45",-0.157054596633694,0.126212225076301,0.0480616559769327,0.136755779073129,-0.263675714630534,0.107422871765464,"X45","l-frontalpole"
"X46",-0.119548329676942,0.141873463958521,0.0384577103045444,-0.119497833279195,0.0205938780435154,-0.0333620902439955,"X46","l-temporalpole"
"X47",-0.0461330685344596,-0.026473692475392,0.0662607531469988,0.0216428194164995,0.145174443204079,-0.272349165565928,"X47","l-transversetemporal"
"X48",-0.188485174941184,-0.0545078644729434,0.0382649401007672,-0.101498835422866,0.299958169702614,-0.0746724711742884,"X48","l-insula"
"X49",0.0215855401903165,-0.257258548218691,0.10308978108506,0.187594417619023,-0.071350922542932,0.0999827546608188,"X49","r-bankssts"
"X50",-0.0810601191641092,-0.252020209357223,0.106400318509508,0.0371708363287508,-0.1842409465245,0.109907443608409,"X50","r-caudalanteriorcingulate"
"X51",0.0816183342236277,-0.307766685758065,0.169686100703287,-0.155690815014207,0.0658075842683681,0.079427144214645,"X51","r-caudalmiddlefrontal"
"X52",0.00172226634906779,-0.333038596938776,0.0774188080671663,0.170071807840978,0.103787800736796,-0.216109498911387,"X52","r-cuneus"
"X53",0.0138814169939616,-0.177080810093047,0.0556916745228957,0.200699074858576,0.0725989157662108,-0.235500031108016,"X53","r-entorinal"
"X54",0.0161787962489743,-0.272238869466776,0.0697164144189761,0.202527603432976,0.0590094357586537,-0.26552344381587,"X54","r-fusiform"
"X55",0.0695969942782833,-0.417075407970676,0.149446632941783,-0.0170885889187696,0.0456050622192402,-0.0252391689810691,"X55","r-inferiorparietal"
"X56",0.0439516420580808,-0.346749643593337,0.110673743755577,0.116824970758972,0.0144076465933769,-0.164625241110832,"X56","r-inferiortemporal"
"X57",-0.0459460803175036,-0.266226238377221,0.116809098571386,0.0369930578532251,-0.030101521925677,-0.193081066262617,"X57","r-isthmuscingulate"
"X58",0.0216207870933759,-0.342817001666132,0.0785090368738695,0.178460149551254,0.106123212739942,-0.188466358706118,"X58","r-lateraloccipital"
"X59",0.0542065969647319,-0.389283942924205,0.111619735585259,0.0520774457010584,-0.0603769635830414,-0.135806305283996,"X59","r-lateralorbitofrontal"
"X60",0.0136783827753625,-0.366948843100267,0.0790041319404734,0.225425354566919,0.0194093201422684,-0.211117251136541,"X60","r-lingual"
"X61",0.0717480297298936,-0.363020411599997,0.139605546583532,-0.0122205048273455,-0.125474037987985,-0.0279592381042264,"X61","r-medialorbitofrontal"
"X62",0.0417525403231129,-0.435715637675154,0.14095953833859,0.0901914046465104,0.0245540903381299,0.0422446925856747,"X62","r-middletemporal"
"X63",0.0223089498008013,-0.208467188124653,0.0562282054451954,0.0859014475705722,0.0678657677217676,-0.193913804560179,"X63","r-parahippocampal"
"X64",-0.00991682326928969,-0.103997677722074,0.223083798642309,-0.0820529167765296,0.0124114788893158,-0.102840729839072,"X64","r-paracentral"
"X65",0.0382859247994434,-0.363242398237932,0.198029337252248,-0.0926090533021177,-0.11595152975145,0.347564729690383,"X65","r-parsopercularis"
"X66",0.0677179301918316,-0.364394672143154,0.141673208428679,0.0293183609086927,-0.0413680683881963,0.0559472041299597,"X66","r-parsorbitalis"
"X67",0.0548650271767314,-0.367226862928954,0.202596439765527,-0.0295546026226897,-0.0977602767278779,0.277441500228619,"X67","r-parstriangularis"
"X68",0.0127504754273339,-0.333791029496226,0.0592745382615922,0.189344404211359,0.0279982678219565,-0.210167765291746,"X68","r-pericalcarine"
"X69",0.102492164344577,-0.315308810303163,0.188950333517372,-0.15862862522832,0.00404851463653567,-0.0716411903424944,"X69","r-postcentral"
"X70",-0.0745560275306066,-0.165861926598468,0.147009162997678,0.047554684485479,0.0252649385242451,-0.106176509714673,"X70","r-posteriorcingulate"
"X71",0.110140211815322,-0.251272763626406,0.224858012389368,-0.222336067343502,0.100512509349932,-0.0341428766144625,"X71","r-precentral"
"X72",-0.0340363387433022,-0.353631347621918,0.181386831603991,-0.133544475755903,0.000742829766716853,-0.173454796708926,"X72","r-precuneus"
"X73",-0.0227666299014676,-0.135923561019289,0.0958494002477777,0.225449949482951,-0.243619130158723,0.0776087217318965,"X73","r-rostralanteriorcingulate"
"X74",0.0517972670772562,-0.424331328717285,0.192510681304615,-0.116837718138864,-0.0497848601623141,0.174487380390385,"X74","r-rostralmiddlefrontal"
"X75",0.0554951421457886,-0.287064150478029,0.236299632860554,-0.239559058234465,0.156715112691202,0.241915188361374,"X75","r-superiorfrontal"
"X76",0.0597433473072394,-0.289469073541977,0.196632919694203,-0.183473875506297,0.00590596080280711,-0.138480180324699,"X76","r-superiorparietal"
"X77",-0.00919088596958259,-0.375562644971984,0.120083907881958,0.180669386332078,-0.0331494934336654,-0.0489963802654549,"X77","r-superiortemporal"
"X78",0.0426318741206499,-0.392723559675026,0.129764370169233,0.0452622569403254,-0.136387974581908,0.200721050614656,"X78","r-supramarginal"
"X79",0.0817724094609511,-0.400234919953108,0.119906645719404,-0.0367060774073857,-0.0716410443531701,-0.0284214083700976,"X79","r-frontalpole"
"X80",0.0244450979438931,-0.269146481669801,0.0899988847816578,0.133606529101095,0.0215391050446468,-0.241402717723602,"X80","r-temporalpole"
"X81",-0.0310487844180596,-0.26781933350844,0.0432271809323815,0.127445950770513,-0.0601974650484321,0.0114072244436757,"X81","r-transversetemporal"
"X82",0.00948277573112852,-0.379315520637402,0.140164882148653,0.108622720963154,-0.0330958949909471,-0.0018040510164555,"X82","r-insula"
